site_id,site_name,directions_to_site,administrator_of_site,number_of_docks,number_of_restrooms,number_of_parking_lots,number_of_accessible_spaces,number_of_trailer_spaces,number_of_vehicle_spaces,parking_lot_surface,number_of_ramps,ramp_surface,site_longitude,site_latitude
WAS01233,Lake Harriet Public Water Access Site,"In Minneapolis, at the intersection of W Lk Harriet Pkwy and William Berry, on the NW shore.",City of Minneapolis,0,1,1,0,10,40,asphalt,1,concrete slab,-93.306955,44.928162
WAS01234,"Minnesota River, MN Valley Refuge - Russel Public Water Access Site","Under I-35W bridge in Bloomington, enter from Lyndale Ave S.",National Park Service,0,0,1,0,50,10,asphalt,2,concrete slab,-93.288604,44.801025
WAS01235,"Lake Minnetonka, North Arm Public Water Access Site","In Orono, S of Hwy 12 on Cnty Rd 51.",City of Orono,2,2,1,3,51,10,asphalt,2,concrete slab,-93.617618,44.95036
WAS01236,"Lake Minnetonka, Grays Bay Public Water Access Site","In Minnetonka, just N of bridge, on E side of Hwy 101, on E shore of Grays Bay causeway.",City of Minnetonka,4,2,1,0,107,20,asphalt,3,concrete slab,-93.497599,44.950511
WAS01237,"Lake Minnetonka, Carson Bay Public Water Access Site","In Deephaven, 0.25 miles W of Vine Hill Rd, on East shore of Lake Minnetonka.",City of Deephaven,0,1,1,0,17,0,asphalt,2,concrete slab,-93.529598,44.923806
WAS01238,"Lake Minnetonka, Phelp's Public Water Access Site","In Minnetrista, 2 mi S of Cnty Rd 125, on Tuxedo Rd, Phelps Island, on Lake Minnetonka.",City of Minnetrista,0,0,1,0,2,1,asphalt,1,natural,-93.651083,44.912919
WAS01239,"Lake Minnetonka, Halsted Bay Public Water Access Site","In Minnetrista village, off of Halsteads Dr, on Lake Minnetonka.",City of Minnetrista,1,0,0,0,0,0,,1,gravel,-93.702675,44.916794
WAS01240,"Lake Minnetonka, Mounds Bay Park Public Water Access Site","In Mound, S of Cnty Rd 110 and E of Cnty Rd 44.",City of Mound,1,1,1,0,8,17,asphalt,1,concrete slab,-93.669285,44.929039
WAS01241,"Lake Minnetonka, Spring Park Bay Public Water Access Site","In Spring Park, off CSAH 15, just SW of intersection with CSAH 51.",Hennepin County,2,2,1,1,8,2,asphalt,3,concrete slab,-93.625858,44.934695
WAS01242,"Lake Minnetonka, Grays Bay Dam Public Water Access Site","In Minnetonka, at the dam on E shore of Grays Bay, accessible via Fairchild.",City of Minnetonka,1,1,1,0,0,8,asphalt,1,gravel,-93.487257,44.953192
WAS01243,"Lake Minnetonka, Regional Park Public Water Access Site","In Minnetrista, just E of Hwy 44 in Lake Minnetonka Regional Park.",Three Rivers Park District,3,1,1,6,53,100,asphalt,2,concrete slab,-93.668767,44.897947
WAS01244,"Lake Minnetonka, Maxwell Bay Public Water Access Site","In Orono, just NE of Hwy 135 and Hwy 51 intersection.",DNR Division of Parks and Trails,5,3,1,0,80,15,asphalt,3,concrete slab,-93.608848,44.953404
WAS01245,"Minnesota River, Winkle Park Public Water Access Site","In Chaska in Winkel Park, just W of the Cnty Rd 41 bridge, W on W 1st St, S on S Cedar St on W bank of Minnesota River.",City of Chaska,0,0,1,0,10,5,gravel,1,concrete slab,-93.600573,44.782406
WAS01246,"Lake Ann, Lake Ann Park Public Water Access Site","In Chanhassen, .5 miles west of County Road 17, on SE shore of Ann lake, in Lake Ann City Park.",City of Chanhassen,1,1,1,0,7,100,asphalt,1,concrete slab,-93.55669,44.868918
WAS01247,Lake Bavaria Public Water Access Site,"2 miles southeast of Victoria, off County Road 11, on Cnty Rd 111, on the southwest shore of Bavaria Lake.",Carver County,0,1,1,0,8,0,gravel,1,gravel,-93.647052,44.83616
WAS01248,"Lake Minnewashta, Regional Park (NE) Public Water Access Site","In Lake Minnewashta Regional Park, W of Cnty Rd 41 on NE shore.",Carver County,2,1,1,0,41,10,asphalt,2,concrete slab,-93.592384,44.880118
WAS01249,Patterson Lake/Hunting access Public Water Access Site,4 mi NE of Young America off MN Hwy 25 on SW shore.,DNR Division of Parks and Trails,0,0,1,0,10,0,gravel,1,natural,-93.878531,44.830382
WAS01250,"Mississippi River, East River Flats Public Water Access Site","In Minneapolis, just S of U of MN campus, just N of I94 on E. River Pkwy.",City of Minneapolis,0,1,1,0,0,50,asphalt,1,natural,-93.23687,44.971397
WAS01251,Oneka Lake Public Water Access Site,"1.5 mi E of MN Hwy 61, via Oneka Lake Blvd & Greene Avenue North to S shore.",DNR Division of Parks and Trails,0,0,1,0,3,0,gravel,1,natural,-92.973333,45.171506
WAS01252,Lake Jane Public Water Access Site,1.5 mi N of Hwy 5 on Jamaca Ave N.,DNR Division of Parks and Trails,1,1,1,0,7,0,asphalt,1,concrete slab,-92.919351,45.013084
WAS01253,Parley Lake Public Water Access Site,"3.5 mi NE of Waconia on Cnty Rd 30, E on Parley Lake Rd, on SW shore.",DNR Division of Parks and Trails,1,0,1,0,4,2,gravel,1,concrete slab,-93.735907,44.878805
WAS01254,"Lake Waconia - East, Public Water Access Site",NE of Waconia on Cnty Rd 92 on E shore.,DNR Division of Parks and Trails,3,2,1,0,40,10,asphalt,3,concrete slab,-93.759209,44.871425
WAS01255,Pierson Lake Public Water Access Site,"3 mi SW of Victoria, N of CSAH 10, N on Laketown Rd, E on Lakewood Cir, on W shore.",DNR Division of Parks and Trails,1,1,1,0,8,3,gravel,1,concrete slab,-93.703101,44.831998
WAS01256,McMahon Lake Public Water Access Site,"6 mi S of Prior Lake, on Cnty Rd 87, to NW shore.",DNR Division of Parks and Trails,1,1,1,0,9,0,gravel,1,concrete slab,-93.42026,44.635814
WAS01257,O'Dowd Lake Public Water Access Site,3.5 mi S of Shakopee on Cnty Rd 79 to NW shore.,DNR Division of Parks and Trails,1,1,1,0,13,0,asphalt,1,concrete slab,-93.52387,44.742743
WAS01258,"Mississippi River, Harriet Island Public Water Access Site","In St. Paul, at Plato Blvd and Dr Justus Ohage Blvd, on the south shore of Mississippi River.",City of St. Paul,0,2,1,0,0,50,asphalt,1,natural,-93.099675,44.936701
WAS01259,Lake Isabelle Public Water Access Site,"In Isabel Park in Hastings, E on E 2nd Rd, S on Bass St.",City of Hastings,0,0,1,0,6,4,asphalt,1,concrete slab,-92.843138,44.74338
WAS01260,"Long Prairie River, Browerville Public Water Access Site","From US 71 just south of Browerville, take E Miltona Rd towards the access.  Site adjacent to the city sewage treatment ponds.",City of Browerville,0,0,1,0,0,8,natural,0,natural,-94.858487,46.076399
WAS01261,"Mille Lacs Lake, Isle Public Water Access Site",In Isle off of Hwy 47,DNR Division of Parks and Trails,1,1,1,0,25,5,gravel,1,concrete slab,-93.461226,46.143212
WAS01262,"Mississippi River, LeBourget Park Public Water Access Site",In Le Bourget Park off of Paul Larson Memorial Dr.,City of Little Falls,0,0,1,0,8,0,asphalt,1,concrete slab,-94.36601,45.97986
WAS01263,Little Rock Creek Public Water Access Site,Take CR 12 east out of Rice for 1.2 miles to 15th Ave NW.  Follow 15th Ave NW north for 0.9 miles to the access.,DNR Division of Fish and Wildlife,0,0,1,0,0,0,gravel,0,natural,-94.195169,45.782146
WAS01265,Pelican Lake (W) Public Water Access Site,Take CR 25 south out of Monticello for 3.5 miles to CR 37.  Follow CR 37 east for 1.5 miles to Edmonson Ave NE.  Follow Edmonson Ace NE south for 1.3 miles to the access.,U.S. Fish and Wildlife Service,1,1,1,0,30,0,gravel,1,concrete slab,-93.794112,45.234654
WAS01266,"Mille Lacs Lake, Wahkon Public Water Access Site","In Wahkon, just southwest of Mn Highway #27 and CSAH 17, on the southeast end of Mille Lacs Lake.",City of Wahkon,1,1,1,0,4,6,,1,gravel,-93.522093,46.122734
WAS01267,Onamia Lake Public Water Access Site,"0.5 miles west of Onamia, on MN Highway #27, above the Rum River outlet.",DNR Division of Parks and Trails,0,0,1,0,6,4,gravel,1,concrete slab,-93.680331,46.069237
WAS01268,"Mille Lacs Lake, Cove Bay Public Water Access Site","Cove Bay PWA. In Cove, on MN Hwy. 27, 1.25 miles East of US Hwy. 169.",DNR Division of Parks and Trails,1,2,1,0,40,0,gravel,2,concrete slab,-93.615018,46.110207
WAS01269,"Osakis Lake, Battle Point Public Water Access Site","In Battle Point County Park, 2 mi E of the city of Osakis on Mn Hwy 27, then 3 mi N on Cnty Rd 37, then 2 mi W on Twp Rd to E shore.",Todd County,1,1,1,0,24,0,gravel,1,concrete slab,-95.099573,45.931276
WAS01270,Mound Lake Public Water Access Site,"1 mi N of Grey Eagle on Mn Hwy 28, then 1.5 mi E on Cnty Rd 103 to NW shore.",DNR Division of Parks and Trails,1,1,1,0,6,0,gravel,1,concrete slab,-94.689801,45.835564
WAS01271,Moose Lake Public Water Access Site,"1 mi N of Burtrum on MN Hwy 28, to SE shore.",DNR Division of Parks and Trails,1,0,1,0,6,0,gravel,1,concrete slab,-94.685325,45.883752
WAS01272,Mary Lake Public Water Access Site,"1.5 mi S of Grey Eagle on Cnty Rd 33, then 3 mi E on Cnty Rd 2, then 1.5 mi S on Cnty Rd 103, then 1 mi E on Twp Rd to N shore.",DNR Division of Parks and Trails,1,1,1,0,8,0,gravel,1,concrete slab,-94.6561,45.781242
WAS01273,Maple Lake Public Water Access Site,"1 mi S of Long Prairie on US Hwy 71, then 3.5 mi W on Cnty Rd 10, then 2 mi S on Cnty Rd 11, then 1.5 mi W on Cnty Rd 93, then 0.25 mi S on Twp Rd to NE shore.",DNR Division of Parks and Trails,1,0,1,0,8,0,gravel,1,concrete slab,-94.99436,45.914284
WAS01274,Lady Lake Public Water Access Site,2 mi N of Grey Eagle on Cnty Rd 102 to NE shore.,DNR Division of Parks and Trails,1,1,1,0,8,0,gravel,1,concrete slab,-94.746584,45.861457
WAS01275,Pepin Lake Public Water Access Site,"On the west side of Swanville, off Mn Highway #28, on the east shore of Lake Pepin.",City of Swanville,0,1,1,0,4,0,gravel,1,concrete slab,-94.645109,45.9107
WAS01276,Pine Lake Public Water Access Site,3 miles West of Upsala on Morrison Co. Rd. #228.,DNR Division of Parks and Trails,1,1,1,0,6,0,gravel,1,concrete slab,-94.631379,45.824422
WAS01277,Pierz Lake Public Water Access Site,"2.5 miles West of Pierz on MN Hwy. 27, then 0.75 mile South on Morrison Co. Rd. #36.",DNR Division of Parks and Trails,1,0,1,0,6,6,gravel,1,concrete slab,-94.158588,45.961126
WAS01278,"Mississippi River, Belle Prairie Co Park Public Water Access Site","4 miles North of Little Falls on MN Hwy. 371, then 0.5 mile West on park entry road.",Morrison County,0,0,1,0,15,0,natural,1,concrete slab,-94.343544,46.035342
WAS01279,"Mississippi River, Pike Creek Public Water Access Site","In Little Falls, 2 miles South of MN Hwy. 27 on Morrison Co. Rd. #52.",Morrison County,1,0,1,0,8,0,asphalt,1,concrete slab,-94.391469,45.952777
WAS01280,"Mississippi River, Little Falls Dam Public Water Access Site","On the south edge of Little Falls, by the treatment plant, on the east bank of the Mississippi River.",City of Little Falls,0,0,0,0,0,0,,1,concrete slab,-94.365477,45.974264
WAS01281,"Mississippi River, Beaver Island Public Water Access Site",In the City of St Cloud's Beaver Island Park at the jct of 14th St S and 3rd Ave S.,City of St. Cloud,0,1,1,0,6,21,asphalt,1,concrete slab,-94.148843,45.544161
WAS01282,"Mississippi River, Blanchard Dam Public Water Access Site",2.1 miles west of Hwy 10 on 68th St,Minnesota Power and Light,1,0,1,0,0,5,gravel,1,natural,-94.35795,45.860042
WAS01283,"Mississippi River, Mississippi Co Park) Public Water Access Site","11 miles north of St. Cloud, off CSAH 1, on the west bank of the Mississippi River.",Stearns County,0,1,1,0,5,9,gravel,1,concrete slab,-94.222852,45.726569
WAS01284,Millstone Lake Public Water Access Site,3 mi N of the city of Maple Lake on Cnty Rd 8 to SW shore.,DNR Division of Parks and Trails,0,0,1,0,5,0,natural,1,concrete slab,-93.998618,45.287964
WAS01285,Mary Lake Public Water Access Site,"1 mi NE of the city of Maple Lake, on W shore.",DNR Division of Parks and Trails,1,0,1,0,8,0,gravel,1,concrete slab,-93.997685,45.255883
WAS01286,Mud Lake Public Water Access Site,North of Eden Valley off of Hutcheson Ave E,City of Eden Valley,0,0,1,0,5,12,gravel,1,concrete slab,-94.535897,45.336088
WAS01287,"Marie Lake, Fairhaven Dam Millpond Public Water Access Site","In the city of Fairhaven, in the Fairhaven Mill Pond County Park.",Wright County,0,1,1,0,4,4,gravel,1,concrete slab,-94.215587,45.316331
WAS01288,Locke Lake Public Water Access Site,5 mi SE of Clearwater to NE shore.,DNR Division of Parks and Trails,1,1,1,0,6,0,gravel,1,concrete slab,-93.956722,45.363635
WAS01289,"Little Rock Lake, Benton Beach Public Water Access Site","From Rice, E on Co Rd 2; 2 mi to Benton Beach Co Park, site is located in park on the NE shore of the lake.",Benton County,0,1,1,0,5,10,gravel,1,gravel,-94.165296,45.74584
WAS01290,"Little Rock Lake, Hwy 10 Public Water Access Site",2.5 mi S on Hwy 10 on N side of Little Rock Lake Channel.,DNR Division of Parks and Trails,1,1,1,0,28,0,asphalt,2,concrete slab,-94.1754,45.704407
WAS01291,Little Birch Lake Public Water Access Site,"2.5 mi W of Grey Eagle on Mn Hwy 28, then 0.25 mi E on Cnty Rd 2 to NW shore.",DNR Division of Parks and Trails,1,1,1,0,12,0,gravel,1,concrete slab,-94.796316,45.792927
WAS01292,"Mississippi River, Montissippi Park Public Water Access Site","From Monticello, 3 miles west on County Road 75, then right at the park entrance sign.",Wright County,0,1,1,0,10,0,gravel,1,concrete slab,-93.823672,45.32596
WAS01293,Moses Lake Public Water Access Site,From Hwy 37 follow Pleason Ave NW north for 1.5 miles to 47th St NW.  Take 47th St NW west for 0.2 miles west to Quimby Ave NW.  Follow Quimby Ave NW north for 0.3 miles to 50th St NW.  Take 50th St NW west for 0.9 miles to the access.,Wright County,0,0,1,0,0,0,gravel,1,concrete slab,-94.233152,45.223924
WAS01294,Long/Crooked Lake Public Water Access Site,"From St Augusta, S on CoRd 44 6mi to Eaglewood Rd, go W .5 mi to the site on the west shore of the lake.",Lynden Township,0,0,1,0,4,0,gravel,1,concrete slab,-94.105972,45.396941
WAS01295,"Long Lake, Freeport Public Water Access Site",1.5 miles south on Co. Rd. 167.,DNR Division of Parks and Trails,1,0,1,0,10,0,gravel,1,concrete slab,-94.714362,45.701213
WAS01296,Mons Lake Public Water Access Site,"7 miles southeast of Long Prairie, 1 miles south of CSAH 12, on the northeast shore of Mons Lake.",Burnhamville Township,1,0,1,0,5,0,gravel,1,concrete slab,-94.705398,45.929044
WAS01297,"Mississippi River, Snuffies Landing Public Water Access Site","From Becker, W 1 mi on Hwy 10, S on CoRd 53, 3 mi to the site.",City of Becker,0,0,1,0,12,0,gravel,1,concrete slab,-93.914843,45.383739
WAS01298,Pine Island Lake Public Water Access Site,"9 miles northeast of Browerville, on CSAH 16, on the north shore of Big Lake.",Turtle Creek Township,0,0,1,0,4,0,gravel,1,natural,-94.710242,46.120712
WAS01299,"Mississippi River, Babcock Public Water Access Site","In Babcock Highway Rest Area, 0.5 mi E of the city of Elk River on US Hwy 10 at junction of Mn Hwy 101, on E bank.",DNR Division of Parks and Trails,0,0,1,0,10,0,gravel,1,concrete slab,-93.558002,45.289737
WAS01300,Maple Lake (W) Public Water Access Site,"1 mi E of the city of Maple Lake on Mn Hwy 55, to S shore.",City of Maple Lake,1,0,1,0,5,0,,1,concrete slab,-93.978337,45.226396
WAS01301,Little Elk Lake Public Water Access Site,"From Zimmerman, W 1.25 mi on CoRd 4, N on CoRd 1 2.5 mi to site on S shore of lake.",DNR Division of Parks and Trails,1,0,1,0,6,0,asphalt,1,concrete slab,-93.630878,45.478047
WAS01302,Julia Lake Public Water Access Site,"2 mi N on Hwy 10, then 3.5 mi E on Cnty Rd 16, then 1.5 mi N on Cnty Rd 6 then E on 42nd Street S.E. to W shore.",DNR Division of Parks and Trails,1,0,1,0,8,0,gravel,1,concrete slab,-93.926329,45.506598
WAS01303,Pine Lake Public Water Access Site,"From the City of Abany, N on CoRd 10 .5 mi to CoRd 154, E to Pine Lake Rd, then S .25 mi to the access on the west shore of the lake.",DNR Division of Parks and Trails,0,0,1,0,4,0,gravel,1,natural,-94.511021,45.652263
WAS01304,Pelican Lake Public Water Access Site,"From City of Avon, N on CoRd 9 3 mi to CoRd 154, W 1 mi to the site on the NW shore of the lake.",DNR Division of Parks and Trails,1,0,1,0,5,0,gravel,1,concrete slab,-94.490267,45.658906
WAS01305,North Browns Lake Public Water Access Site,"3.5 mi north on Co. Rd. 22, then 0.5 mi north on Browns Lake Road to the northeast shore of the lake.",DNR Division of Parks and Trails,1,0,1,0,20,0,gravel,1,concrete slab,-94.53443,45.389865
WAS01306,McCormic Lake Public Water Access Site,"0.5 miles East on Co. Rd. 17, then 2 miles south on Co. Rd. 185 to the east shore of the lake.",DNR Division of Parks and Trails,1,0,1,0,6,0,gravel,1,concrete slab,-94.899271,45.719226
WAS01307,Lower Spunk Lake Public Water Access Site,"From th ecity of Avon, W on CoRd 157 .25 mi to the site on the south shore of the lake.",DNR Division of Parks and Trails,1,1,1,0,8,8,gravel,1,concrete slab,-94.458914,45.612262
WAS01308,Kings Lake Public Water Access Site,"2 miles North on Co. Rd. 167, then 0.25 mile north on King's Lake Rd., then 0.25 mile to the southwest shore of the lake.",DNR Division of Parks and Trails,1,1,1,0,18,0,gravel,1,concrete slab,-94.709722,45.682276
WAS01309,"Mississippi River, Clearwater Public Water Access Site","0.25 mi E of Clearwater on Mn Hwy 24, on NE corner of bridge to E bank.",DNR Division of Parks and Trails,0,0,1,0,10,0,gravel,1,concrete slab,-94.042331,45.419456
WAS01310,"Mississippi River, Ellison Park Public Water Access Site",In Monticello off of River St E,City of Monticello,0,1,1,0,4,23,asphalt,1,concrete slab,-93.782038,45.303515
WAS01311,Little Sauk Lake Public Water Access Site,"From Sauk Center, N on StHwy 71 5 mi to CoRd2, then W on CoRd2 2 mi to CoRd11, then N 2 miles to the site on the SE shore of the lake.",DNR Division of Parks and Trails,1,0,1,0,6,0,gravel,1,concrete slab,-94.97396,45.862947
WAS01312,"North Lake, Harry Larson Park Public Water Access Site",From I-94 follow CR 8 south for 2.5 miles to 127th St NW.  Take 127th St NW east for 2.1 miles to Clementa Ave NW.  Follow Clementa Ave NW north for 0.2 miles to the access.,Wright County,0,0,0,0,0,0,,1,,-93.931448,45.335075
WAS01313,Knife Lake (S) Public Water Access Site,"5 mi N of Mora on Mn Hwy 65, then 1 mi W on Cnty Rd 19 to S shore.",DNR Division of Parks and Trails,1,1,1,0,10,0,gravel,1,concrete slab,-93.313879,45.960865
WAS01314,Knife Lake (NE) Public Water Access Site,6.3 mi N of Mora off Mn Hwy 65 to E shore.,MNDOT,1,1,1,0,25,0,asphalt,1,concrete slab,-93.278838,45.98589
WAS01315,"Mille Lacs Lake, Father Hennepin SPK (E) Public Water Access Site","In Father Hennepin State Park, 1 mi W of Isle, on SE shore.",DNR Division of Parks and Trails,1,0,0,0,0,0,,2,concrete slab,-93.484872,46.14837
WAS01316,"Mille Lacs Lake, Cedar Creek Public Water Access Site",Cedar Creek PWA. 4 miles North of Isle on MN Hwy. 47.,DNR Division of Parks and Trails,1,1,1,0,45,0,gravel,2,concrete slab,-93.489114,46.194688
WAS01317,"Otter Tail River, Hwy 1 Public Water Access Site",2 mi NE of Fergus Falls on Cnty Rd 1.,DNR Division of Parks and Trails,0,0,1,0,0,6,gravel,1,concrete slab,-96.009601,46.309902
WAS01318,Lida Lake (S) Public Water Access Site,"In Maplewood State Park, 7.5 mi SE of the city of Pelican Rapids to Eshore of south arm of lake.",DNR Division of Parks and Trails,1,0,1,0,6,0,gravel,1,concrete slab,-95.975627,46.528574
WAS01319,Niemacki Marsh Public Water Access Site,4 mi SE of Herman off MN Hwy 9 then NE on Twp Rd to S shore.,DNR Division of Fish and Wildlife,0,0,1,0,2,0,natural,1,natural,-96.071358,45.760613
WAS01320,Minnewaska Lake (NW) Public Water Access Site,"In Starbuck, on Mn Hwy 29, to SW shore.",City of Starbuck,2,0,1,0,32,0,natural,2,concrete slab,-95.527116,45.606289
WAS01321,Long Lake Public Water Access Site,"1.5 mi N of Longville on Mn Hwy 84, then 1.5 mi NE on Cnty Rd 126, then 1 mi E to NW shore.",DNR Division of Parks and Trails,1,0,1,0,3,0,gravel,1,concrete slab,-94.16908,47.031412
WAS01322,Mule Lake Public Water Access Site,"5 mi South of Longville on MN Hwy. 84, then 0.5 mile South and East on Township Road.",DNR Division of Parks and Trails,0,0,1,0,4,0,gravel,0,gravel,-94.254487,46.920134
WAS01323,Laura Lake Public Water Access Site,8 miles northeast of Wabedo on southwest shore of Laura Lake.,DNR Division of Fish and Wildlife,0,0,1,0,0,0,gravel,1,natural,-94.018633,46.976913
WAS01324,"Crow Wing River, Knob Hill Landing, #10 Public Water Access Site","11 miles north of Staples, just east of Lyons State Forest on the west bank of the Crow Wing River.",Wadena County,0,0,1,0,0,7,gravel,1,natural,-94.818484,46.533848
WAS01325,"Crow Wing River, Cottingham Co. Park, #11 Public Water Access Site","8.5 miles north of Staples, just south of CSAH 7, on the west bank of the Crow Wing River.",Wadena County,0,0,1,0,0,5,gravel,0,natural,-94.807381,46.505522
WAS01326,Blueberry Lake Public Water Access Site,"2 miles North of Menahga on Wadena Co. Rd. #21, then 0.5 mile West and North on Blueberry Township Road #161.",DNR Division of Parks and Trails,0,0,1,0,7,0,gravel,1,concrete slab,-95.070401,46.795205
WAS01327,"Crow Wing River, Casey's Landing, #3 Public Water Access Site","3.5 miles East of Menagha on Co Rd 17, then 4 miles East on Co Rd 150, then 1.5 mile East on Shell River Township Road.",DNR Division of Parks and Trails,0,0,1,0,6,0,gravel,1,gravel,-94.923015,46.743966
WAS01328,"Crow Wing River, McGivern County Park, #15 Public Water Access Site","2.5 miles North of Staples on Wadena Co. Rd. #30,  then 0.5 mile East on access entry road.",DNR Division of Parks and Trails,0,0,1,0,7,0,gravel,1,concrete slab,-94.799275,46.414455
WAS01329,"Crow Wing River, Huntersville #2 Public Water Access Site","4 miles East of Menagha on Co Rd 17, then 1 mile North on Co Rd 23, then 6 miles East on Co Rd 18, then 1 mile South on Huntersville Township Road.",DNR Division of Parks and Trails,0,0,1,0,0,10,gravel,0,natural,-94.904597,46.764062
WAS01330,"Cass Lake, Norway Beach (S) Public Water Access Site","3 miles east of city of Cass Lake, off Hwy 2 on Mississippi river, Noreay Beach Recreation Area.",U.S. Forest Service,0,1,1,0,15,20,gravel,1,concrete slab,-94.52362,47.379731
WAS01331,George Lake Public Water Access Site,"2.5 miles N of Outing on Hwy 6, then 3.5 miles W on Co Rd 48, then 1 mile N on Lake George Rd.",DNR Division of Parks and Trails,0,0,1,0,8,0,gravel,1,concrete slab,-94.019124,46.86695
WAS01332,Baby Lake Public Water Access Site,"8 miles East of Hackensack on Cass Co. Rd. #5, then 1 mile North on Woodrow Township Road #22.",DNR Division of Parks and Trails,1,1,1,0,8,0,gravel,1,concrete slab,-94.353585,46.959422
WAS01333,"Crow Wing River, #2, Wilder Landing Public Water Access Site","5 miles west of Baxter on Hwy 210, then south",DNR Division of Parks and Trails,0,0,1,0,8,0,gravel,1,concrete slab,-94.410554,46.325437
WAS01334,Blackbird Lake (SW) Public Water Access Site,"Within the Tamarac National Wildlife Refuge, 1 mile north of County  Road #126 on the south shore.",U.S. Fish and Wildlife Service,0,0,1,0,4,0,gravel,1,gravel,-95.614184,46.930059
WAS01335,"Clearwater River, Co Rd 5 Public Water Access Site","9 miles north of Clearbrook, off County Road 5, on the south bank of the Clearwater River.",Clearwater County,0,0,1,0,4,0,gravel,1,natural,-95.427191,47.832698
WAS01336,"Mississippi River, County Line Public Water Access Site","16 mi SE of Grand Rapids, on Cnty Rd 3 to W bank.",DNR Division of Parks and Trails,0,0,1,0,4,0,gravel,1,concrete slab,-93.322952,47.034347
WAS01337,Little Sand Lake Public Water Access Site,From Calumet follow CR 12 south for 3.2 miles to CR 70.  Follow CR 70 west for 1.3 miles to the access.,Itasca County,0,0,0,0,0,0,,1,natural,-93.278577,47.257159
WAS01338,Oxhide Lake Public Water Access Site,3 mi NW of Marble off US Hwy 169 to SW shore.,DNR Division of Parks and Trails,0,0,1,0,5,0,gravel,1,concrete slab,-93.21356,47.335053
WAS01339,Little Siseebakwet Lake Public Water Access Site,Approximately 11 mi SW of Grand Rapids to E shore.,Itasca County,0,0,1,0,2,2,gravel,1,gravel,-93.720895,47.162437
WAS01340,Little Split Hand Lake Public Water Access Site,"14 mi SE of Grand Rapids on Cnty Rd 3, then 2.75 mi W on Cnty Rd 68 to N shore.",DNR Division of Parks and Trails,1,0,1,0,4,0,gravel,1,concrete slab,-93.448625,47.071112
WAS01341,O'Brien Reservoir Public Water Access Site,"1 mi E of Nashwauk, off Mn Hwy 169 to S shore.",City of Nashwauk,0,1,1,0,8,0,gravel,1,concrete slab,-93.133937,47.380692
WAS01342,Moose Lake Public Water Access Site,"4 mi N of the city of Deer River MN Hwy 6, then 5.5 mi E on Cnty Rd 19, then 1 mi N on Cnty Rd 238 to E shore.",DNR Division of Parks and Trails,1,1,1,0,3,0,asphalt,1,concrete slab,-93.673812,47.393889
WAS01343,Little Bass Lake Public Water Access Site,"4 mi N of Grand Rapids on Mn Hwy 38, then 3 mi W on Cnty Rd 263, then.25 mi S on Twp Rd 168.",DNR Division of Parks and Trails,0,0,1,0,3,0,gravel,1,concrete slab,-93.594724,47.287512
WAS01344,O'Reilly Lake Public Water Access Site,"2 mi NW of Taconite on State Hwy 7, then NW on access road to S shore.",DNR Division of Parks and Trails,1,0,1,0,3,0,natural,1,concrete slab,-93.422559,47.357693
WAS01345,"Mississippi River, Co Rd 72 Public Water Access Site",5 mi S of Blackberry off Co Rd 72 to E bank.,DNR Division of Parks and Trails,0,0,1,0,2,0,gravel,1,concrete slab,-93.390343,47.1084
WAS01346,"Mississippi River, Lake Winnibigoshish Rec Area Public Water Access Site",Follow Hwy 46 out of Deer River for 11.5 miles to CR 9.  Follow CR 9 west for 1.8 miles to the access.,U.S. Army Corps of Engineers,0,1,1,0,13,0,asphalt,1,concrete slab,-94.049451,47.428724
WAS01347,Orange Lake Public Water Access Site,"12 miles south of Marcell, off MN Highway #38, on the northwest shore of Orange Lake.",U.S. Forest Service,0,0,0,0,0,0,,1,natural,-93.628217,47.450092
WAS01348,Larson Lake Public Water Access Site,Head south from Hwy 1 on Bass Lake Campground Rd for 4 miles to the access.,DNR Division of Parks and Trails,1,0,1,0,4,0,natural,1,concrete slab,-93.417478,47.767332
WAS01349,Lawerence Lake Public Water Access Site,From US 169 in Taconite follow Hwy 7 north for 9 miles to the access.,DNR Division of Parks and Trails,1,0,1,0,4,4,gravel,1,concrete slab,-93.389198,47.426198
WAS01350,Island Lake Public Water Access Site,From Hwy 48 follow CR 181 north for 0.3 miles to the access.,DNR Division of Parks and Trails,0,0,0,0,0,0,,1,concrete slab,-93.729458,47.429533
WAS01351,"Mississippi River, Schoolcraft SPK Public Water Access Site","20 miles east of Federal Dam, in Schoolcraft State Rec Area, on west bank of Mississippi River.",DNR Division of Parks and Trails,1,1,0,0,0,0,,1,concrete slab,-93.802122,47.225066
WAS01352,"Nelson Slough, East Park WMA (W) Public Water Access Site","7 miles northwest of the city of Middle River, 2 miles west off County Road 118, on East Park WMA Lake.",DNR Division of Fish and Wildlife,0,0,1,0,2,5,gravel,1,gravel,-96.348285,48.493157
WAS01353,Moose River Public Water Access Site,"1 miles east of the city of Thief Lake, off County road 131, on the south bank of Moose River.",DNR Division of Fish and Wildlife,0,1,1,0,3,5,gravel,1,natural,-95.818304,48.487412
WAS01354,Eagle Lake Public Water Access Site,6.8 mi N of Park Rapids on US Hwy 71 to W shore.,DNR Division of Parks and Trails,1,1,1,0,10,0,gravel,1,concrete slab,-95.104142,47.017533
