Site ID,Site Name,Directions to Site,Site Coordinates,Administrator of Site,Number of Docks,Number of Restrooms,Number of Parking Lots,Number of Accessible Spaces,Number of Trailer Spaces,Number of Vehicle Spaces,Parking Lot Surface,Number of Ramps,Ramp Surface
WAS01890,Shamrock Lake Public Water Access Site,Access trail starts off of the Kelly loop at fire #1657- then 600ft to the SW corner of the lake.,"[-91.619295, 47.718008]",U.S. Forest Service,0,0,0,0,0,0,,1,natural
WAS01891,Bird Lake Public Water Access Site,"4 miles southeast of the City of Hoyt Lakes, off County Road 569, on the west shore of Bird Lake.","[-92.057567, 47.486729]",U.S. Forest Service,0,1,0,0,0,0,,1,natural
WAS01892,Dragon Lake Public Water Access Site,"11 miles southwest of Sawbill Landing, east of Forest Route 383, on the west shore of Dragon Lake.","[-91.513634, 47.699111]",U.S. Forest Service,0,0,0,0,0,0,,1,natural
WAS01893,Clear Lake Public Water Access Site,"9.5 miles north of Buhl, off County Road 461, on the northwest shore of Clear Lake.","[-92.758426, 47.645828]",U.S. Forest Service,0,0,0,0,0,0,,1,natural
WAS01894,"St. Croix River, Mouth of Sand Creek Public Water Access Site","20 mi E of Hinckley in St. Croix State Park and 4 mi SW of park headquarters, just downstream of the mouth of Sand Creek and St. Croix River.","[-92.640696, 45.933159]",DNR Division of Parks and Trails,0,0,1,0,5,0,gravel,0,natural
WAS01896,"Cass Lake, Wanaki (SE) Public Water Access Site","3.5 miles east of city of Cass Lake, off US Hwy 2, on Norway Beach Road, on east shore of Cass Lake.","[-94.500317, 47.395926]",U.S. Forest Service,0,1,1,0,0,0,gravel,1,concrete slab
WAS01897,"Minnesota River, Whispering Ridge AMA Public Water Access Site",3 miles north of Delhi on Hwy 6 follow access trail east to access.,"[-95.213481, 44.646388]",DNR Division of Fish and Wildlife,0,0,1,0,0,0,natural,0,natural
WAS01898,"Rainy River, Pat Roche Sr. Public Water Access Site","Hwy 53 N to International Falls, East on MN 11","[-93.375726, 48.60442]",City of International Falls,1,0,1,0,8,8,asphalt,1,concrete slab
WAS01899,"Mississippi River, Walleye Road Landing Public Water Access Site",4 miles North of Sartell on Stearns County Road 1 to Walleye Road.,"[-94.225807, 45.716736]",Brockway Township,0,0,1,0,5,0,asphalt,1,concrete slab
WAS01900,Silver Lake Public Water Access Site,"From Hawley, go south 3 miles on 230th St. S.  Then go west 200 yds to public water access.","[-96.326377, 46.83247]",DNR Division of Parks and Trails,1,0,1,0,3,0,gravel,1,concrete slab
WAS01901,Pleasant Lake Public Water Access Site,"4.5 mi N of Underwood on Cnty Rd 35, then .75 mi W on Twp Rd to N shore.","[-95.879047, 46.35729]",DNR Division of Parks and Trails,0,0,1,0,1,2,natural,1,natural
WAS01902,South Walnut Public Water Access Site,From intersection with Interstate 90 go North 1 mile turn right on Twsp Rd  go about 1.5 miles,"[-93.787873, 43.661981]",DNR Division of Parks and Trails,0,0,1,0,4,4,,1,concrete slab
WAS01903,Turtle Lake Public Water Access Site,"North of Bemidji, Hwy 71 north to Irvine Ave NW to Turtle Lake Access","[-94.882746, 47.613069]",DNR Division of Parks and Trails,1,1,1,0,7,1,gravel,1,concrete slab
WAS01904,Saganaga Public Water Access Site,"38 miles north of Grand Marais on the Gunflint Trail, on Saganaga Lake.","[-90.883088, 48.164736]",Cook County,0,0,1,0,20,20,gravel,1,concrete slab
WAS01905,Sea Gull Lake (E) Public Water Access Site,"54 miles northwest of Grand Marais, off CSAH 12, on the east shore of Seagull Lake.","[-90.86972, 48.147112]",Cook County,1,0,1,0,20,20,gravel,1,natural
WAS01906,West Bearskin Lake Public Water Access Site,23 mi NW of Grand Marais on Hwy 12 then 2.5 mi NE on Hwy 66 to E shore.,"[-90.398329, 48.064612]",DNR Division of Parks and Trails,1,0,1,0,4,8,gravel,1,concrete slab
WAS01907,Popular Lake Public Water Access Site,Take Hwy 12 for 31.5 miles to Co Rd 92.  Follow Co Rd 92 west for 0.5 miles to Usfs 1335.  Follow Usfs 1335 for 0.5 miles to Poplar Lake Access.,"[-90.544262, 48.055507]",U.S. Forest Service,0,0,1,0,15,30,gravel,1,concrete slab
WAS01908,Tom Lake Public Water Access Site,10.5 mi NW of Hovland on Cnty Rd 16 & Forest Rds 4 & 2 on N shore.,"[-90.068754, 47.934049]",DNR Division of Parks and Trails,0,0,1,0,7,0,natural,1,concrete slab
WAS01909,Trout Lake Public Water Access Site,"10 miles northeast of Grand Marais, off Frest Road 140, on the northwest shore of Trout Lake.","[-90.183165, 47.87403]",U.S. Forest Service,0,0,1,0,0,4,gravel,1,natural
WAS01910,"Bowstring River, #3 Public Water Access Site",13 mi N of the city of Deer River on Mn Hwy 6 to E bank of river.,"[-93.815828, 47.524242]",DNR Division of Parks and Trails,0,0,1,0,6,0,natural,1,natural
WAS01911,Ball Club Lake (W) Public Water Access Site,From Hwy 2 go N on Co Rd 39,"[-93.957943, 47.351256]",Itasca County,0,0,1,0,2,0,,1,natural
WAS01912,Clear Lake Public Water Access Site,"2 miles north of Wirt, on CSAH 31, on the east shore of Clear Lake.","[-93.968126, 47.751458]",Itasca County,0,0,1,0,3,0,,1,natural
WAS01913,Bowstring Lake (S) Public Water Access Site,"8 mi N of the city of Deer River on Mn Hwy 6, then 3 mi W on Cnty Rd 37, then 2 mi N on Cnty Rd 153, then .75 mi NW to S shore.","[-93.894592, 47.497165]",DNR Division of Parks and Trails,1,1,1,0,20,0,gravel,2,concrete slab
WAS01914,Ball Club Lake (S) Public Water Access Site,South shore Hwy 2,"[-93.911468, 47.324689]",DNR Division of Parks and Trails,0,0,1,0,4,0,gravel,1,concrete slab
WAS01915,"Big Fork River, Harrison Public Water Access Site",5 mi NE of Wirt on Cnty Rd 14 to E bank.,"[-93.906232, 47.76198]",DNR Division of Parks and Trails,0,1,1,0,2,2,natural,1,natural
WAS01916,"Dishpan Lake, WMA Flowage Public Water Access Site","4 mi NW of the city of Dora Lake off Cnty Rd 26, in Dishpan WMA.","[-94.097404, 47.770235]",DNR Division of Fish and Wildlife,0,0,1,0,0,5,natural,1,natural
WAS01917,Damon Lake Public Water Access Site,"11 miles northwest of the city of Deer River, on MN Highway #46, 2 miles west on CSAH 9, on the northeast shore of Winibigoshish Lake.","[-94.415985, 47.605537]",U.S. Forest Service,0,0,0,0,0,0,,1,natural
WAS01918,Holland Lake Public Water Access Site,"5 miles east of Wirt, on the west shore of Holland Lake.","[-93.865058, 47.729974]",U.S. Forest Service,0,0,1,0,1,0,,1,natural
WAS01919,First River Lake Public Water Access Site,"17 miles northwest of the city of Deer River, on Mn Highway #46, just east of US Forest Service Road 3107, on the west shore of First River Lake.","[-94.017118, 47.493166]",U.S. Forest Service,0,0,1,0,0,0,gravel,1,natural
WAS01920,"Cut Foot Sioux Lake, Williams Narrows Public Water Access Site","16 miles northwest of the city of Deer River, on Mn Highway #46, then 2 miles northwest on County Road 48, on the east shore of Cut Foot Sioux Lake.","[-94.06427, 47.503844]",U.S. Forest Service,1,0,1,0,4,0,gravel,1,concrete slab
WAS01921,"Cut Foot Sioux Lake, #2 Public Water Access Site","21 miles northwest of the city of Deer River, on Mn Highway #46, then 3 miles southwest of County Road 33, on the north shore of Cut Foot Sioux Lake.","[-94.093934, 47.525471]",U.S. Forest Service,1,0,1,0,8,0,gravel,1,concrete slab
WAS01922,"Bowstring River, #2 Public Water Access Site","5 miles north of Max, off CSAH 4, on the west bank of the Bowstring River.","[-94.063014, 47.678868]",U.S. Forest Service,0,0,0,0,0,0,,1,natural
WAS01923,"Cut Foot Sioux Lake, Mosomo Public Water Access Site","15 mi NW of the city of Deer River on MN Hwy 46, then W approximately 2 mi to N shore.","[-94.044776, 47.516613]",U.S. Forest Service,0,1,1,0,22,0,gravel,2,concrete slab
WAS01924,Bowstring Lake (NW) Public Water Access Site,"18.5 miles northwest of the city of Deer River, on MN Highway 46, 5 miles northeast on County Road 35, on the north shore of Bowstring Lake.","[-93.945472, 47.561157]",U.S. Forest Service,1,1,1,0,7,0,,1,concrete slab
WAS01925,Dora Lake Public Water Access Site,"0.5 miles west of the city of Dora Lake, on CSAH 29 , on the west bank of the Big Fork River.","[-94.051438, 47.740364]",U.S. Forest Service,0,0,1,0,18,0,,1,concrete slab
WAS01926,Dinner Pail Lake Public Water Access Site,"15 miles south of Grand Rapids, off US Highway #169, on the northeast shore of Dinner Pail Lake.","[-93.595079, 47.04305]",Itasca County,0,0,1,0,3,0,gravel,1,natural
WAS01927,Forest Lake Public Water Access Site,In Grand Rapids on S shore.,"[-93.544821, 47.237198]",City of Grand Rapids,0,0,1,0,3,0,,1,concrete slab
WAS01929,Crystal Lake Public Water Access Site,In Grand Rapids on the NE shore.,"[-93.52404, 47.247185]",City of Grand Rapids,0,0,1,0,0,0,asphalt,1,concrete slab
WAS01930,Helen Lake Public Water Access Site,"7 miles northeast of Goodland, on CSAH 16, on the west shore of Helen Lake.","[-93.085742, 47.247635]",Itasca County,0,0,1,0,2,0,gravel,1,natural
WAS01931,Deer Lake Public Water Access Site,"8 mi N of Grand Rapids on Mn Hwy 38, then 7 mi W on Cnty Rds 177 and 256.","[-93.69275, 47.3582]",DNR Division of Parks and Trails,1,1,1,0,12,0,natural,1,concrete slab
WAS01932,Cowhorn Lake Public Water Access Site,"10 miles southeast of Grand Rapids, off County Road 427, on the east shore of Cowhorn Lake.","[-93.450601, 47.100407]",Itasca County,0,0,1,0,3,0,gravel,1,natural
WAS01933,Clearwater Lake Public Water Access Site,From Hwy 49 follow Clearwater Rd east for 1.8 miles to the access.,"[-93.476104, 47.388327]",DNR Division of Parks and Trails,0,0,0,0,0,0,,1,gravel
WAS01934,Bass Lake (W) Public Water Access Site,"5 mi NW of Cohasset on Cnty Rd 227, then .75 mi N on Cnty Rd 240 to W shore.","[-93.671722, 47.328251]",DNR Division of Parks and Trails,1,1,1,0,3,0,gravel,1,concrete slab
WAS01935,Big McCarthy Lake Public Water Access Site,5 mi NW of Nashwauk on Cnty Rd 58 to NW shore.,"[-93.271596, 47.413941]",DNR Division of Parks and Trails,0,1,1,0,2,0,gravel,1,concrete slab
WAS01936,Beauty Lake Public Water Access Site,11 mi SE of Pengilly on E shore.,"[-93.070535, 47.22631]",DNR Division of Parks and Trails,1,0,1,0,3,4,gravel,1,concrete slab
WAS01937,Hill Lake Public Water Access Site,"12 miles south of Marcell, on MN HIghway #38, on the south shore of Hill Lake.","[-93.610253, 47.427504]",U.S. Forest Service,0,0,0,0,0,0,,1,natural
WAS01938,Bello Lake Public Water Access Site,Follow Hwy 38 north out of Marcell for 4 miles to Turtle Lake Rd.  Follow Turtle Lake Rd. west for 1.2 miles to Jaynes School Rd.  Follow Jaynes School Rd north for 1.4 miles to the access.,"[-93.705515, 47.664655]",DNR Division of Parks and Trails,0,0,1,0,3,0,gravel,1,natural
WAS01939,"Big Fork River, Hwy 14 Public Water Access Site",6.8 miles west of Bigfork on Hwy 14.,"[-93.777449, 47.748756]",U.S. Forest Service,0,0,1,0,0,0,gravel,1,concrete slab
WAS01940,Floodwood River Public Water Access Site,"In the City of Floodwood, from Hwy 73 (Elm Street) go E on West 4th Ave then N on Pine St, then E on W. 3rd Street to city park.","[-92.917065, 46.929176]",City of Floodwood,0,0,1,0,10,0,gravel,1,concrete slab
WAS01941,"Florian Slough, Florian WMA Public Water Access Site",Located within Florian WMA,"[-96.553513, 48.41208]",DNR Division of Fish and Wildlife,0,0,1,0,5,5,,0,natural
WAS01942,"Elm Lake, Farms Pool Public Water Access Site","10 miles southeast of Holt, located in Agassiz National Wildlife Refuge","[-96.021302, 48.265131]",DNR Division of Fish and Wildlife,0,0,1,0,4,4,gravel,1,natural
WAS01943,"Clearwater River, Sportsman Park Public Water Access Site","In the city of Red Lake Falls, off Cnty Rd 13 to S bank.At confluence of Clear River and Red Lake River","[-96.282089, 47.893991]",DNR Division of Parks and Trails,0,1,1,0,5,10,gravel,1,concrete slab
WAS01944,Cameron Lake Public Water Access Site,"In Erskine, off County Road 34, on the northeast shore of Cameron Lake.","[-96.011011, 47.667691]",City of Erskine,1,1,1,0,4,6,gravel,1,concrete slab
WAS01945,Breckenridge Lake Public Water Access Site,From US 75 head east on CR 14 for 1.3 miles to Twp Rd 84.  Follow Twp Rd 84 north for 0.2 miles to the access.,"[-96.537471, 46.256112]",City of Breckenridge,0,1,1,0,6,0,gravel,1,concrete slab
WAS01946,Ida Lake (N) Public Water Access Site,"From MN 29 9.6 miles north of Alexandria, follow CR 5 west for 4.2 miles to Big Horn Bay Rd NW.  Follow Big Horn Bay Rd NW west for 0.7 miles to the access.","[-95.408572, 46.019796]",Leaf Valley Township,1,0,1,0,2,0,gravel,1,concrete slab
WAS01947,Bland Lake Public Water Access Site,NE corner Kanabec County,"[-93.139947, 46.1425]",DNR Division of Fish and Wildlife,1,0,1,0,4,0,gravel,1,gravel
WAS01948,Eleven Lake Public Water Access Site,"14 mi N and E of Quamba on Cnty Rd 5, then 4 mi N on Cnty Rd 20, then.5 mi W on Cnty Rd 85, then N on access road to S shore.","[-93.085115, 46.132741]",DNR Division of Parks and Trails,1,1,1,0,6,0,gravel,1,concrete slab
WAS01949,"Crow Wing River, Al Vah's Public Water Access Site","1 mile South of Motley on US Hwy. 10, then then 4 miles East on Morrison Co. Rd. #28.","[-94.547713, 46.305157]",DNR Division of Parks and Trails,0,0,1,0,8,0,gravel,1,concrete slab
WAS01950,Fish Lake (S) Public Water Access Site,"2 mi S of Mora on Mn Hwy 65, then 1.5 mi W on Cnty Rd 14 to S shore.","[-93.326418, 45.820676]",DNR Division of Parks and Trails,1,1,1,0,7,0,gravel,1,concrete slab
WAS01951,Fish Lake (N) Public Water Access Site,1.5 mi S of Mora on Mn Hwy 65 to NW shore.,"[-93.294126, 45.845269]",DNR Division of Parks and Trails,0,0,2,0,8,8,gravel,1,concrete slab
WAS01952,Alexander Lake (E) Public Water Access Site,8 miles North of Randall on Morrison Co. Rd. #6.,"[-94.500666, 46.209022]",DNR Division of Parks and Trails,1,1,1,0,20,0,asphalt,1,concrete slab
WAS01953,"Crow River, Crow Springs Park Public Water Access Site","5 miles south of Buffalo, on County Road 25, in Crow Spring County Park, on the west bank of the North Fork of the Crow River.","[-93.872382, 45.092363]",Wright County,0,1,0,0,0,0,,1,natural
WAS01954,"Crow River, Wildlife Park Public Water Access Site","5 miles north of Cokato, on County Road 3, then 0.8 miles east on 7th Street fo the Wildlife Park, access is on the North Fork of the Crow River.","[-94.176118, 45.138029]",Wright County,0,0,0,0,0,0,,1,natural
WAS01955,"Crow River, Riverside Park Public Water Access Site","In Riverside County Park in Hanover, 1 miles east of County Road 19, on the east bank of the river.","[-93.640033, 45.165044]",Wright County,0,0,0,0,0,0,,1,natural
WAS01956,Beauty Lake Public Water Access Site,"6.5 mi E of Long Prairie on Mn Hwy 27, then 2 mi N on Beauty Lake Rd to S shore.","[-94.698179, 46.001199]",DNR Division of Parks and Trails,1,0,1,0,16,0,gravel,1,concrete slab
WAS01957,Dayton Hollow Reservoir Public Water Access Site,Head south out of Fergus Falls on CR 1 for 2 miles to Dayton Lake Dr.  Follow Dayton Lake Dr west for 0.8 miles to the access.,"[-96.119864, 46.246714]",DNR Division of Parks and Trails,1,0,1,0,4,0,gravel,1,concrete slab
WAS01958,Cottonwood Lake Public Water Access Site,Take Hwy 9 south out of Herman for 4.6 miles to 100th St.  Follow 100th St east for 2.5 miles to 230th Ave.  Follow 230th Ave north for 0.4 miles to the access.,"[-96.025399, 45.764224]",DNR Division of Parks and Trails,1,1,1,0,8,0,gravel,1,concrete slab
WAS01959,Blackwell Lake (S) Public Water Access Site,1 mile south of Holmes City on Country Ln SW,"[-95.551669, 45.822286]",DNR Division of Parks and Trails,1,0,1,0,4,0,gravel,1,concrete slab
WAS01960,Hattie Lake Public Water Access Site,"3 mi SW of Alberta, 1 mi off Cnty Rd 66.","[-96.08381, 45.534268]",DNR Division of Parks and Trails,1,1,1,0,7,0,gravel,1,concrete slab
WAS01961,Ann Lake Public Water Access Site,"3.25 mi E of Lowry on Cnty Rd 28, then 0.5 mi S on Cnty Rd 15 to NW shore.","[-95.44816, 45.706877]",DNR Division of Parks and Trails,0,0,1,0,4,0,gravel,1,gravel
WAS01962,Amelia Lake Public Water Access Site,"3 mi E of Glenwood on Twp Rd, then 0.5 mi N on Cnty Rd 25, then E on access road to W shore.","[-95.297329, 45.671686]",DNR Division of Parks and Trails,1,0,1,0,6,0,gravel,1,concrete slab
WAS01963,Donalds Lake Public Water Access Site,In the city of Ottertail on NW shore.,"[-95.560098, 46.420256]",City of Otter Tail,0,0,1,0,2,0,,1,concrete slab
WAS01964,Block Lake Public Water Access Site,"0.5 mi N of Parkers Prairie on MN Hwy 29, then 7 mi W on Cnty Rd 6 to NE shore.","[-95.484887, 46.167446]",DNR Division of Parks and Trails,1,0,1,0,2,0,gravel,1,concrete slab
WAS01965,Fish Lake Public Water Access Site,"1.75 mi W of Parkers Prairie on Mn Hwy 235, then 0.75 mi S on Cnty Rd 79, then W on access road to E shore.","[-95.383944, 46.133341]",DNR Division of Parks and Trails,1,0,1,0,3,0,gravel,1,concrete slab
WAS01966,Ellingson Lake Public Water Access Site,"1.2 mi W of Vining on MN Hwy 210, then 1 mi S to NW shore.","[-95.580541, 46.245486]",DNR Division of Parks and Trails,0,0,1,0,3,0,natural,1,natural
WAS01967,Blanche Lake Public Water Access Site,"8 mi N of the city of Battle Lake on Mn Hwy 78, then .5 mi E on Twp Rd to N shore.","[-95.649371, 46.357408]",DNR Division of Parks and Trails,1,0,1,0,6,0,gravel,1,concrete slab
WAS01968,Ethel Lake Public Water Access Site,"8 mi N of Clitherall on Cnty Rd 5, to E shore.","[-95.613182, 46.363226]",DNR Division of Parks and Trails,1,0,1,0,2,0,gravel,1,concrete slab
WAS01969,Buchanan Lake Public Water Access Site,3.5 mi N of downtown Ottertail to N shore.,"[-95.557483, 46.458272]",DNR Division of Parks and Trails,1,0,1,0,11,0,natural,1,concrete slab
WAS01970,Big Pine Lake (W) Public Water Access Site,2.5 mi NE of Perham to W shore.,"[-95.521747, 46.616349]",DNR Division of Parks and Trails,1,1,1,0,36,0,gravel,2,concrete slab
WAS01971,Big Pine Lake (E) Public Water Access Site,7 mi E of Perham to SE shore.,"[-95.444113, 46.592471]",DNR Division of Parks and Trails,1,0,1,0,8,0,natural,1,concrete slab
WAS01972,Dumbbell Lake Public Water Access Site,"Approximately 4 mi E of Isabella on Forest Rd, then N on access road to SW shore.","[-91.268651, 47.612788]",U.S. Forest Service,1,1,1,0,8,0,gravel,1,concrete slab
WAS01973,"Cut Foot Sioux Lake, S. McAvity Bay Public Water Access Site",Follow Hwy 46 out of Deer River for 15.7 miles to Williams Narrows Rd.  Follow Williams Narrows Rd west for 0.5 miles to CR 148.  Follow CR 148 south for 0.8 miles to access road.  Follow the access road west for 0.5 miles to the access.,"[-94.061817, 47.479471]",U.S. Forest Service,1,0,1,0,13,0,gravel,1,concrete slab
WAS01974,Divide Lake Public Water Access Site,"7.5 miles south of Sawbill Landing, just south of Forest Route 7, on thw west shore of Divide Lake.","[-91.256056, 47.609508]",U.S. Forest Service,0,1,0,0,0,0,,1,natural
WAS01975,Greenwood Lake Public Water Access Site,35 mi N of Two Harbors on Cnty Rd 2 to W shore.,"[-91.653203, 47.505387]",DNR Division of Parks and Trails,1,0,1,0,8,0,natural,1,concrete slab
WAS01976,Comstock Lake Public Water Access Site,"Approximately 31 mi N of Duluth on Cnty Rd 4, then 5 mi SW on Cnty Rd547, then 0.5 mi W to N shore.","[-92.220681, 47.224514]",DNR Division of Parks and Trails,0,1,1,0,6,2,gravel,1,concrete slab
WAS01977,Bear Lake Public Water Access Site,"8 mi N of Duluth on Cnty Rd 37, then approximately 23.5 mi N on Cnty Rd 44, then 3 mi W on Bear Lake Forest Rd, then 0.75 mi SE to W shore.","[-91.920603, 47.205753]",DNR Division of Parks and Trails,0,0,1,0,6,0,gravel,1,concrete slab
WAS01978,Harriet Lake Public Water Access Site,"Approximately 20 mi N of Finland on Cnty Rd 7, then 0.5 mi N on Forest Rd to S shore.","[-91.11436, 47.657645]",U.S. Forest Service,0,1,1,0,6,0,gravel,1,concrete slab
WAS01979,Campers Lake Public Water Access Site,13.8 miles west of Isabella on Hwy 1.,"[-91.598609, 47.659028]",MNDOT,0,0,0,0,0,0,,0,
WAS01980,Hogback Lake Public Water Access Site,"10 miles northeast of Isabella, just south of Forest Route 172, on the north shore of Hogback Lake.","[-91.134566, 47.644342]",U.S. Forest Service,0,1,1,0,4,0,natural,1,natural
WAS01981,Fall Lake (S) Public Water Access Site,"1.5 mi E of Winton on Mn Hwy 169, then 1 mi E on Cnty Rd 18, then N on Forest Rd to SE shore.","[-91.730102, 47.944282]",DNR Division of Parks and Trails,0,0,1,0,3,0,natural,1,natural
WAS01982,"Burntside Lake, Co Rd 404 Public Water Access Site","From Hwy 1 west of Ely, follow Co Rd 88 north for 2.3 miles to Co Rd 404.  Follow Co Rd 404 west for 1.2 miles to access.","[-91.97449, 47.920394]",DNR Division of Parks and Trails,1,1,1,0,15,8,asphalt,1,concrete slab
WAS01983,Burntside River Public Water Access Site,"6 mi W of Ely on Mn Hwy 169, then 2 mi N on Cnty Rd 404 to river.","[-92.019965, 47.893544]",DNR Division of Parks and Trails,1,0,1,0,0,6,gravel,1,natural
WAS01984,"Burntside Lake, Co Rd 88 Public Water Access Site","Off County Highway 489, adjacent tothe Burntside Lodge on Burntside Lake.","[-91.952416, 47.923649]",St. Louis County,1,0,0,0,0,0,,1,concrete slab
WAS01985,Burntside Lake (S) Public Water Access Site,"3 mi W of Ely on Mn Hwy 1, then 2.5 mi N on Cnty Rd 88, then approximately 1.5 mi W on Cnty Rd 404 to S shore.","[-92.031341, 47.894358]",DNR Division of Parks and Trails,0,0,1,0,2,3,gravel,1,gravel
WAS01986,Bear Island Lake (NE) Public Water Access Site,"6 mi N of Babbitt on Cnty Rd 21, then 1 mi W on Cnty Rd 684 to NE shore.","[-91.946424, 47.777961]",DNR Division of Parks and Trails,1,0,1,0,3,0,,1,concrete slab
WAS01987,Bass Lake Public Water Access Site,"7 mi S of Biwabik on Cnty Rd 4, then E to N shore.","[-92.323789, 47.452665]",DNR Division of Parks and Trails,0,0,1,0,2,0,gravel,1,concrete slab
WAS01988,Armstrong Lake Public Water Access Site,"10.3 mi NE of Tower on Mn Hwy 169, to W shore.","[-92.094568, 47.848325]",DNR Division of Parks and Trails,1,0,1,0,14,0,gravel,1,concrete plank
WAS01989,Crane Lake (E) Public Water Access Site,Take Co Rd 23 east out of Orr for 16 miles to Crane Lake Rd.  Follow Crane Lake Rd north for 11.2 miles to Co Rd 425.  Follow Co Rd 425 east for 1.5 miles to access.,"[-92.47075, 48.268962]",DNR Division of Parks and Trails,1,1,1,0,34,5,asphalt,2,concrete slab
WAS01990,Eniss Lake Public Water Access Site,Follow Hwy 169/Co Rd 18 for 15.5 miles to Snowbank Lake Rd.  Follow Snowbank Lake Rd for 0.6 miles east.  Hike in to access.,"[-91.497591, 47.975879]",DNR Division of Parks and Trails,0,0,0,0,0,0,,0,
WAS01991,Cedar Lake Public Water Access Site,Follow Cedar Lake Rd north out of Winton to Cloquet Line.  Follow Cloquet Line north for 2.5 miles to access.,"[-91.77133, 47.969584]",U.S. Forest Service,1,0,1,0,8,0,gravel,1,concrete slab
WAS01992,Holter Lake Public Water Access Site,From Hwy 21 take Co Rd 360 north 6.2 miles to access road.,"[-92.082147, 47.769123]",DNR Division of Parks and Trails,0,0,0,0,0,0,,0,
WAS01993,Big Lake Public Water Access Site,From CR 16 follow VF 416 north for 6.2 miles to access trail.  Follow access trail for 5 miles to the access.,"[-91.866724, 47.515212]",DNR Division of Parks and Trails,0,0,1,0,0,4,gravel,0,natural
WAS01994,Camp Lake Public Water Access Site,From Hwy 21 take Co Rd 360 north 4.2 miles to access path.,"[-92.104962, 47.74549]",DNR Division of Parks and Trails,0,0,0,0,0,0,,0,natural
WAS01995,Ely Lake Public Water Access Site,"In SW Gilbert, on NW shore.","[-92.47505, 47.461101]",DNR Division of Parks and Trails,1,0,1,0,8,0,gravel,1,concrete slab
WAS01996,Elephant Lake (S) Public Water Access Site,9 mi NE of Orr to SE shore.,"[-92.741302, 48.182774]",DNR Division of Parks and Trails,0,0,1,0,2,2,natural,0,natural
WAS01997,Elephant Lake (SE) Public Water Access Site,9 mi NE of Orr to SE shore.,"[-92.728685, 48.184907]",DNR Division of Parks and Trails,1,0,1,0,10,2,gravel,1,concrete slab
WAS01998,Eagle Nest Lake (2) Public Water Access Site,"10 mi E of Tower on Mn Hwy 169, then 2 mi S on Cnty Rd 599, to N shore and left side of road.","[-92.116655, 47.823898]",DNR Division of Parks and Trails,0,0,1,0,6,0,gravel,1,concrete slab
WAS01999,Eagles Nest Lake (3) Public Water Access Site,"In Bear Head Lake State Park, 10 mi E of downtown Tower on Mn Hwy 169, then 5 mi S on Cnty Rd 128, then 1 mi N on State Park Rd to S shore.","[-92.06733, 47.81165]",DNR Division of Parks and Trails,1,0,1,0,14,0,gravel,1,concrete slab
WAS02000,Elbow Lake (N) Public Water Access Site,"10 mi E of Orr on Cnty Rd 23, then S on Elbow Forest Rd to end of road on NW shore.","[-92.608364, 48.032184]",DNR Division of Parks and Trails,1,0,1,0,4,3,gravel,1,gravel
WAS02001,Hanson Lake Public Water Access Site,Follow Co Rd 116 for 7 miles north out of Ely.  Take first left after Norway Ln onto forest road and follow to access.,"[-91.942028, 47.98087]",DNR Division of Parks and Trails,0,0,1,0,0,4,natural,0,
WAS02002,Barwise Lake Public Water Access Site,From Hwy 7 follow CR 339 west for 2.1 miles to Cedar Lake Ln.  Follow Cedar Lake Ln south for 0.1 miles to the access.,"[-93.418282, 47.56093]",DNR Division of Parks and Trails,0,0,1,0,0,0,gravel,0,natural
WAS02003,Coon Lake Public Water Access Site,"9 mi S of Hibbing on Mn Hwy 73, then 1 mi W on Cnty Rd 16, then 0.75 mi S on Cnty Rd to N shore.","[-93.045645, 47.276989]",DNR Division of Parks and Trails,0,0,1,0,6,0,gravel,1,natural
WAS02004,Roger Lake Public Water Access Site,Take Hwy 6 south out of Emily for 4.6 miles to CR 36.  Follow CR 36 east for 2.3 miles to Rogers Lake Rd.  Access is off of Rogers Lake Rd.,"[-93.906073, 46.665808]",DNR Division of Parks and Trails,1,0,1,0,6,0,gravel,1,concrete slab
WAS02005,Ruth Lake Public Water Access Site,"2 miles North of Emily on MN Hwy. 6, then 0.5 mile East on Mill Road.","[-93.954983, 46.760109]",DNR Division of Parks and Trails,1,1,1,1,12,3,gravel,1,concrete slab
WAS02006,Sebie Lake Public Water Access Site,1.5 miles east of Fort Ripley on the southewst shore of Sebie Lake.,"[-94.327869, 46.164306]",Crow Wing County,1,0,1,0,6,1,gravel,1,concrete slab
WAS02007,"Sandy River, Hwy 65 Public Water Access Site",8 miles N of McGregor on Hwy 65.,"[-93.302646, 46.723873]",DNR Division of Parks and Trails,1,0,1,0,6,0,gravel,1,concrete slab
WAS02008,"Snake River, Bear Creek Public Water Access Site",Just northeast of Mcgrath on CR 61,"[-93.262517, 46.246804]",DNR Division of Parks and Trails,0,0,1,0,0,6,gravel,0,natural
WAS02009,Shumway Lake Public Water Access Site,Approximately 16 mi N of Tamarack.,"[-93.150448, 46.828491]",DNR Division of Parks and Trails,1,1,1,0,10,0,gravel,1,concrete slab
WAS02010,Taylor Lake Public Water Access Site,3.8 mi E and S of Hill City on MN Hwy 200 on NW shore.,"[-93.512447, 46.995992]",DNR Division of Parks and Trails,0,0,1,0,0,5,gravel,1,natural
WAS02011,"Sandy River, Flowage Public Water Access Site","5 mi N of McGregor on MN Hwy 65, then 1 mi NW on gravel Rd to S shore.","[-93.336719, 46.690297]",DNR Division of Parks and Trails,0,0,1,0,4,0,gravel,1,natural
